지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),평균운량(1/10),합계 일조시간(hr),최심적설(cm),최심신적설(cm)
95,철원,2019-11,4.5,11.9,-1.5,20.8,-8.3,20191104,20191120,1004.4,1023.6,79,53,.9,4.7,191.4,,
98,동두천,2015-11,8,13.1,4.1,21.1,-8.1,20151112,20151127,1010,1023.4,72,114.6,1.3,,92.7,,
98,동두천,2015-12,.5,6.9,-4.2,13.9,-12.8,20151209,20151228,1011.5,1025.3,63,26.5,1.5,,162.3,,
98,동두천,2016-01,-4.1,2.4,-9.5,10.1,-19.3,20160102,20160124,1011.2,1025.2,54,1.3,1.6,,195.4,,
98,동두천,2016-02,-.4,6.4,-6.2,16.5,-13.2,20160213,20160202,1010,1023.8,50,47.8,1.9,,184.3,,
98,동두천,2016-03,6.5,14.2,.4,24,-10.2,20160331,20160301,1007.6,1021.1,50,53.3,2,,243.8,,
98,동두천,2016-04,13.8,22.2,7.3,30.9,2.8,20160426,20160405,1000,1012.9,52,86.5,2.1,,217.4,,
98,동두천,2016-05,18.5,26.3,12.1,32.2,7.7,20160519,20160505,998.2,1010.9,59,151.8,2,,266.8,,
98,동두천,2016-06,22.7,29.3,17.5,32.6,13.5,20160628,20160602,994.6,1007.1,65,29.5,1.7,,228.9,,
98,동두천,2016-07,25.1,30.2,21.4,34.9,17.6,20160711,20160706,994.9,1007.2,76,366.3,1.5,,156.9,,
98,동두천,2016-08,26.5,32.5,22.2,35.7,12.1,20160811,20160827,993.2,1005.4,70,70.4,1.4,,231.1,,
98,동두천,2016-09,21.6,28.2,17,30.9,10,20160905,20160921,1000.5,1013.1,69,39.6,1.2,,196.5,,
98,동두천,2016-10,14.6,21.5,9.2,28.5,-1.8,20161004,20161030,1006.1,1019.1,67,154.9,1.3,,185.2,,
98,동두천,2016-11,6.1,12.2,1,20,-8.7,20161119,20161124,1009.5,1022.9,59,18.1,1.5,,155.2,,
98,동두천,2016-12,.6,6.5,-4.3,14.6,-12,20161221,20161216,1010.9,1024.7,61,67.7,1.5,,150.6,,
98,동두천,2017-01,-2.5,4.1,-7.9,13.6,-14.9,20170108,20170124,1011.4,1025.3,56,15.5,1.7,,205.4,,
98,동두천,2017-02,-.8,5.7,-6.6,12.4,-11.8,20170228,20170202,1009.3,1023.1,53,15.1,1.9,,207.9,,
98,동두천,2017-03,5.6,13.7,-.8,21,-7.3,20170319,20170308,1005.7,1019.2,48,15.1,1.8,,237,,
98,동두천,2017-04,13.2,21.3,6.9,28.3,.5,20170430,20170402,999.4,1012.7,51,67.5,2.2,,252.9,,
