지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 나타난날(yyyymmdd),최고기온(°C),최고기온 나타난날(yyyymmdd),평균최저기온(°C),평균최고기온(°C),평균 해면기압(hPa),합계 강수량(mm),일 최다 강수량(mm),평균 상대습도(%),합계 일조시간(hr),평균 풍속(m/s),최다 풍향(16방위)
127,충주,2017,12,-16,20170124,36.3,20170805,6.4,18.3,1017,1072.9,89,63.3,2386.8,1.5,90
127,충주,2018,12,-19.2,20180112,40,20180801,6.4,18.4,1017.4,1349.1,134.2,65.4,2348.3,1.5,90
127,충주,2019,12.3,-13.2,20190109,35.5,20190805,6.7,18.6,1016.8,795.5,60.6,67.8,2261.9,1.3,90
129,서산,2015,12.7,-10.5,20150209,33.7,20150807,7.9,18.1,1017.1,815.9,47.4,78.1,2384.4,2,50
129,서산,2016,12.9,-12.7,20160124,34.6,20160820,8.2,18.2,1017.2,922.1,137.5,81.3,2382.9,2,50
129,서산,2017,12.2,-12.9,20170124,34.7,20170805,7.2,17.6,1017.5,830.4,86.2,78.1,2624.7,2,180
129,서산,2018,12.2,-15.9,20180127,37.1,20180801,7.4,17.6,1017.5,1227.2,139.3,72.8,2660,1.9,20
129,서산,2019,12.7,-10.9,20190109,36.3,20190810,7.6,18.3,1016.8,915,71,72.3,2491.2,1.8,340
130,울진,2015,13.2,-10.4,20150209,35.5,20150804,8.8,17.7,1015.9,819.1,97.3,68.3,2476.3,2.7,270
130,울진,2016,13.2,-13.5,20160124,33.9,20160726,9.2,17.7,1015.9,1196.3,126.6,69.6,2364.4,2.5,270
130,울진,2017,13.2,-9,20171212,37.1,20170721,8.8,18,1015.6,857.5,64.2,64.2,2523,2.5,250
130,울진,2018,13,-13.3,20180126,36.6,20180804,8.6,17.8,1016.2,1436.2,104.4,65.6,2383.6,2.6,270
130,울진,2019,13.9,-5.4,20190116,35.8,20190801,9.6,18.7,1015.6,1581.2,332.9,66.4,2529.2,2.5,270
131,청주,2015,14,-10.8,20150209,36.4,20150807,9.6,19.2,1016.4,756.9,45.5,59.1,2411.9,1.4,270
131,청주,2016,13.9,-16.3,20160124,36.3,20160820,9.5,18.9,1016.4,938,153.6,58.9,2468.3,1.5,270
131,청주,2017,13.4,-11.1,20170124,36.7,20170805,8.9,18.7,1016.6,1301.2,290.2,57.7,2693.5,1.6,250
131,청주,2018,13.5,-15.8,20180127,39.1,20180815,9.1,18.7,1016.8,1381.6,151.6,60.2,2640.8,1.7,320
131,청주,2019,14.2,-8.6,20190109,36.7,20190803,9.7,19.3,1016.5,856.7,97.7,61.2,2432.2,1.3,290
133,대전,2015,14,-12.4,20150209,36.3,20150807,9.2,19.4,1016.7,822.7,66.9,70,2417.9,1.5,320
133,대전,2016,14,-17,20160124,37.6,20160820,9.4,19.4,1016.8,1228.4,179.1,70,2440.1,1.5,320
133,대전,2017,13.4,-11.8,20170115,35.9,20170805,8.5,18.9,1017.1,1127.5,77,68.2,2632,1.6,320
133,대전,2018,13.5,-16.3,20180125,39.4,20180815,8.8,19,1017.2,1542.1,140,68.9,2542.1,1.5,320
133,대전,2019,14,-9.6,20191206,36,20190805,9.2,19.5,1016.9,984.2,82.5,68.8,2474.3,1.4,320
135,추풍령,2015,12.2,-12.1,20150209,34.8,20150807,7,17.7,1016.6,829,59.8,66.2,2315.2,2.6,270
135,추풍령,2016,12.4,-16.8,20160124,35.6,20160807,7.4,17.9,1016.6,1147.1,107.8,65.8,2309.2,2.6,270
135,추풍령,2017,11.9,-12.1,20171214,34.6,20170806,6.6,17.7,1016.6,921.8,73.6,62.8,2574.7,2.8,270
135,추풍령,2018,11.9,-15.9,20180126,36.7,20180815,6.5,17.5,1016.9,1304.2,138.5,63.5,2527.8,2.8,270
135,추풍령,2019,12.4,-11.2,20190109,33.8,20190804,7.1,17.9,1016.7,1164.1,149.3,62.7,2549.1,2.6,270
136,안동,2015,12.9,-13.1,20150108,37.2,20150807,7.5,19,1016.3,755.1,62,63.8,2604,1.7,290
136,안동,2016,13.2,-15.7,20160124,37.8,20160812,7.9,19.2,1016.4,934.4,84.8,64.4,2612.6,1.7,290
136,안동,2017,12.6,-14.5,20170125,36.6,20170806,7,19,1016.3,938.8,99.7,62.7,2941.2,1.7,290
136,안동,2018,12.7,-18.2,20180127,38.9,20180727,7.3,18.9,1016.7,1078,98.5,65,2698.4,1.6,290
136,안동,2019,12.9,-11.6,20190127,36.9,20190805,7.4,18.9,1016.6,867.8,94.4,65.3,2550.3,1.5,290
137,상주,2015,13.7,-11.1,20150209,36.6,20150806,8.7,19.5,1016.4,800.3,50.3,61.8,2435.6,1.5,270
137,상주,2016,13.8,-15.1,20160124,37.2,20160808,9,19.6,1016.5,1136.2,91.6,62.5,2220.7,1.5,270
137,상주,2017,13.3,-11.2,20171214,36.6,20170623,8.2,19.3,1016.5,953.3,133.6,59.1,2508.2,1.7,270
137,상주,2018,13.1,-14.9,20180125,38.5,20180815,8,19.1,1016.8,1357.2,91.6,61.5,2401.1,1.6,270
137,상주,2019,13.4,-8.7,20190109,35.2,20190805,8.3,19.2,1016.5,1062.5,132.2,66.7,2310.5,1.4,270
138,포항,2015,14.8,-9.3,20150209,37.5,20150804,11.2,18.9,1016.1,919.5,83.4,65.4,2353.3,2.7,250
138,포항,2016,15.2,-12.3,20160124,39.3,20160813,11.7,19.2,1016.1,1515.4,155.3,65,2353.1,2.6,250
